,Sources,Content,Time,Source Links,Time (hours)
65,Business Today," RIL shares trading at record high, overbought on charts; can the rally continue? Shares of Mukesh Ambani-led Reliance Industries Ltd (RIL) are trading at their record high. The RIL stock hit an all-time high of Rs 2658.95...",11 Jan 2024,https://www.businesstoday.in/markets/company-stock/story/reliance-industries-shares-hit-record-high-target-price-buy-sell-hold-412742-2024-01-11,
66,MediaBrief," Reliance Industries to acquire 13.01% stake in Viacom18 from Paramount Global for ₹4286cr; RIL's ownership ... Reliance Industries has announced its agreement to acquire a notable equity stake in Viacom18 Media, a subsidiary of TV18 Broadcast Limited.",2 days ago,https://mediabrief.com/ril-to-acquire-13-stake-of-paramount-in-viacom18/,48.0
67,mint," Reliance Industries shares rally 3%, hit 52-week high; here's why | Mint Shares of Reliance Industries (RIL), which is India's largest company by market capitalization, surged by up to 3%, reaching a new 52-week...",10 Jan 2024,https://www.livemint.com/market/stock-market-news/reliance-industries-shares-rally-3-hit-52-week-high-heres-why-11704889552955.html,
68,mint," Reliance Q3 results: Net profit up 11% to ₹19,641 crore; EBITDA up 17% led by oil and gas, retail segments | Mint Reliance Q3 Results: Reliance Industries Limited reported a 10.9% increase in its net profit to ₹19,641 crore in the third quarter of FY...",19 Jan 2024,https://www.livemint.com/companies/company-results/reliance-industries-q3-results-company-reports-net-profit-of-rs-17-265-revenue-ril-share-price-11705664318053.html,
69,mint," Reliance Industries to see valuation re-rating led by New Energy business, says Nuvama Equities; raises target price | Mint Reliance Industries Ltd (RIL) is sprinting towards commencing New Energy-chain production and with its strategic mergers & acquisitions...",18 Jan 2024,https://www.livemint.com/market/stock-market-news/reliance-industries-to-see-valuation-re-rating-led-by-new-energy-business-says-nuvama-equities-raises-target-price-11705561567313.html,
70,Business Today, Reliance-Disney merger: Here's how the deal can fundamentally transform India's media and entertainment landscape The merger between the media business of Reliance Industries and The Walt Disney Company's India entities has created a new giant in the...,1 week ago,https://www.businesstoday.in/magazine/the-buzz/story/reliance-disney-merger-heres-how-the-deal-can-fundamentally-transform-indias-media-and-entertainment-landscape-420683-2024-03-08,
71,NDTV Profit," Nifty, Sensex Trade Higher As HDFC Bank, RIL, TCS Lead Gains: Midday Market Update India's benchmark stock indices were trading higher through midday on Tuesday, led by gains in index heavyweights HDFC Bank Ltd., Reliance...",4 days ago,https://www.ndtvprofit.com/markets/nifty-sensex-trade-higher-as-hdfc-bank-ril-tcs-lead-gains-midday-market-update,96.0
72,Business Today," RIL shares approach record high; can they cross Rs 3,000 mark? Reliance Industries shares ended at Rs 2606 level, up 0.36% on January 5 against the previous close of Rs 2597.40 on BSE.",8 Jan 2024,https://www.businesstoday.in/markets/company-stock/story/reliance-industries-shares-near-record-high-buy-sell-hold-412201-2024-01-08,
73,mint, Multibagger penny stock: Reliance funding fuels rally in Alok Industries shares by 65% in five straight sessions | Mint Multibagger penny stock: Alok Industries shares have been touching a new 52-week high for the last five sessions after news of Reliance...,8 Jan 2024,https://www.livemint.com/market/stock-market-news/multibagger-penny-stock-reliance-funding-fuels-rally-in-alok-industries-shares-by-65-in-five-straight-sessions-11704692092043.html,
74,Republic World," Reliance Industries to acquire Paramount's stake in Viacom18 for Rs 4,286 crore Reliance Industries-Paramount stake deal: Billionaire Mukesh Ambani-backed Reliance Industries, on Thursday, announced that it has entered...",2 days ago,https://www.republicworld.com/business/markets/reliance-industries-to-acquire-paramount-s-stake-in-viacom18-for-rs-4286-crore/,48.0
75,NDTV Profit, Reliance Industries Shares Hit Record High As Crude Surges Shares of Reliance Industries Ltd. hit an all-time high on Monday due to a significant rise in oil prices amid escalating tensions in the...,1 month ago,https://www.ndtvprofit.com/buzzing-stocks/reliance-industries-shares-hit-record-high-as-crude-surges,
76,Hindustan Times," Reliance Industries Q3 results highlight: Ambani-led company's profit up by 9.3% Reliance Industries Q3 results LIVE updates: Reliance Retail profit jumps 32% ... The profit of Reliance Retail jumped 32% to ₹3,165 crore in the...",19 Jan 2024,https://www.hindustantimes.com/business/reliance-industries-q3-results-live-ril-share-price-profit-revenue-latest-updates-today-19-january-2024-101705639367396.html,
